web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-1","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","ship về thì bị bể vậy, mình không có thời gian trả hàng nên cũng thôi. Mình đành không xài vứt luôn coi như lần này cũng như lần cuối vậy!!!! Chất son mình test ra thử thì ánh tím tím, mà xài không được vì vỏ vỡ rồi!!! BỰC MÌNH VÀ THẤT VỌNG","2026-03-13 16:17 | Phân loại hàng: 09 - Driftwood","Phân loại hàng: 09 - Driftwood","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-2","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Gửi sai màu,  shop tloi chậm trễ, và k xử lý","2026-03-13 15:43 | Phân loại hàng: Taupe-Gạch đỏ","Phân loại hàng: Taupe-Gạch đỏ","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-3","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","chất son thì khô queo để tronh cốp mà lf son thỏi nên gãy son kêu đổi trả thì k dc","2026-03-13 15:42 | Phân loại hàng: MISTY DAY-Hồng tím","Phân loại hàng: MISTY DAY-Hồng tím","Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick"
"1773397937-4","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng không như quảng cáo lợi dụng lổ hổng trả hàng ép ng dùng","2026-03-13 15:09 | Phân loại hàng: Childlike-Cam cháy","Phân loại hàng: Childlike-Cam cháy","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-5","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-6","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36 | Phân loại hàng: 01 - Nude Whisper","Phân loại hàng: 01 - Nude Whisper","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-7","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36 | Phân loại hàng: Glazy Lip Glow-#40, Faceblush-MapleToast","Phân loại hàng: Glazy Lip Glow-#40","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-8","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:35 | Phân loại hàng: VelvetPlush-Apricot","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-9","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Bst này của 3CE xấu thực sự so với hồi nắp vàng, nó cứ hồng hồng tím tím sao ấy, mặc dù màu swatch toàn tông cam. Bạn nào hợp hồng tím nên mua, còn ko nên cân nhắc
Ảnh là mình dùng son speak up và definition, đều ra tông hồng tím, ảnh swatch thì là tông cam, khó hiểu??","2026-03-13 10:33 | Phân loại hàng: Definition-Đất nung","Phân loại hàng: Definition-Đất nung","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-10","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-12 23:00 | Phân loại hàng: Pure Cake-Hồng k","Phân loại hàng: Pure Cake-Hồng k","Phấn Má Hồng Mịn Lì 3CE Face Blush 5.5g"
